"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.004369700E-2,5.386953950E-1,-8.619125932E-2,9.868899345E0
3.203710500E-2,5.219359994E-1,-2.394201700E-3,9.892841339E0
4.403051300E-2,5.051765442E-1,2.873042040E-2,9.811438560E0
5.599340400E-2,4.836287498E-1,3.351882473E-2,9.694122314E0
6.795629500E-2,4.453215301E-1,1.915361360E-2,9.710882187E0
7.796606000E-2,4.548983276E-1,2.873042040E-2,9.801861763E0
8.797582600E-2,4.955997467E-1,9.576806426E-2,1.004607010E1
9.996923400E-2,5.817909837E-1,6.943184882E-2,1.019211674E1
1.119321250E-1,4.477157295E-1,-1.915361360E-2,1.020648193E1
1.219418900E-1,4.429273009E-1,-1.005564705E-1,1.015859795E1
1.319516560E-1,4.620809257E-1,-1.101332754E-1,1.001973438E1
1.439450640E-1,5.315127969E-1,-5.746084079E-2,9.849745750E0
1.559384720E-1,5.722141862E-1,-2.633621916E-2,9.646238327E0
1.678403280E-1,4.788403511E-1,-1.197100803E-2,9.476250648E0
1.798337360E-1,5.027823448E-1,2.154781483E-2,9.481039047E0
1.917966270E-1,5.075707436E-1,3.830722719E-2,9.533711433E0
2.036984820E-1,5.363011956E-1,4.309562966E-2,9.667786598E0
2.156918900E-1,5.674257874E-1,1.675941236E-2,9.844957352E0
2.276852990E-1,5.003881454E-1,-7.182605099E-3,9.950302124E0
2.396787070E-1,4.764461517E-1,-4.548983276E-2,1.007240677E1
2.515805620E-1,3.974374831E-1,-2.154781483E-2,1.020887566E1
2.635434530E-1,4.046200812E-1,-2.154781483E-2,1.012986755E1
2.755368610E-1,5.123591423E-1,-7.182605099E-3,1.008437729E1
2.875302690E-1,5.171475410E-1,4.788403399E-3,9.971850395E0
2.994931600E-1,5.506663918E-1,2.154781483E-2,9.895236015E0
3.114865680E-1,5.506663918E-1,-2.394201700E-3,9.758766174E0
3.234799760E-1,4.620809257E-1,-1.915361360E-2,9.581595421E0
3.354428670E-1,4.501099288E-1,-4.788403399E-3,9.643844604E0
3.454526330E-1,4.620809257E-1,-2.394201607E-2,9.631873131E0
3.554623980E-1,4.932055473E-1,-4.788403399E-3,9.742006302E0
3.674558060E-1,4.812345505E-1,-3.351882473E-2,9.765948296E0
3.794186970E-1,4.932055473E-1,-3.351882473E-2,9.876082420E0
3.914121050E-1,5.075707436E-1,5.027823523E-2,1.000058079E1
4.033749960E-1,5.985504389E-1,-1.915361360E-2,9.981427193E0
4.153378860E-1,5.434837937E-1,-4.070143029E-2,1.008437729E1
4.273312950E-1,5.674257874E-1,-2.154781483E-2,1.005085850E1
4.393247030E-1,4.908113480E-1,-3.112462163E-2,9.888052940E0
4.512570760E-1,5.626373887E-1,5.506663769E-2,9.844957352E0
4.612668420E-1,5.626373887E-1,2.873042040E-2,9.706093788E0
4.712766070E-1,5.051765442E-1,-7.182605099E-3,9.576807022E0
4.832700150E-1,4.668693244E-1,-1.915361360E-2,9.540893555E0
4.952329060E-1,4.836287498E-1,7.182605099E-3,9.641449928E0
5.071957970E-1,5.363011956E-1,-1.915361360E-2,9.658209801E0
5.190976520E-1,5.171475410E-1,-1.197100803E-2,9.751583099E0
5.310300250E-1,5.410895944E-1,7.182605099E-3,9.897629738E0
5.429929160E-1,5.554547906E-1,7.182604820E-2,9.947908401E0
5.549558060E-1,5.243301988E-1,3.591302410E-2,9.940725327E0
5.649655720E-1,5.578489900E-1,3.830722719E-2,1.006043530E1
5.749753380E-1,5.554547906E-1,-4.788403399E-3,1.005804157E1
5.849851030E-1,4.812345505E-1,-6.224924326E-2,9.935936928E0
5.969479940E-1,4.740519226E-1,-1.675941236E-2,9.888052940E0
6.088803670E-1,5.363011956E-1,7.182605099E-3,9.792284966E0
6.208127400E-1,5.410895944E-1,4.788403399E-3,9.756371498E0
6.308225060E-1,5.099649429E-1,3.830722719E-2,9.763554573E0
6.408322710E-1,5.171475410E-1,2.873042040E-2,9.718064308E0
6.527951620E-1,5.219359994E-1,-1.675941236E-2,9.703699112E0
6.628049270E-1,5.339069963E-1,2.633621916E-2,9.708487511E0
6.747373010E-1,5.410895944E-1,3.351882473E-2,9.742006302E0
6.847470660E-1,5.243301988E-1,4.070143029E-2,9.758766174E0
6.967404740E-1,5.458779931E-1,2.873042040E-2,9.876082420E0
7.067502400E-1,5.554547906E-1,3.112462163E-2,9.967061996E0
7.187131310E-1,5.578489900E-1,-1.436521020E-2,1.002212811E1
7.307065390E-1,5.315127969E-1,-1.101332754E-1,9.988609314E0
7.407163040E-1,5.554547906E-1,-9.576806426E-2,1.001733971E1
7.526486770E-1,5.746083856E-1,-5.027823523E-2,9.964667320E0
