"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.333229600E-2,1.271286607E-2,-2.012580633E-2,6.149482727E-2
4.935402400E-2,2.084536850E-2,-1.212954521E-2,8.081531525E-2
6.522316500E-2,4.509922117E-3,3.778338432E-2,1.022062302E-1
8.124489300E-2,-5.211248994E-3,5.418366194E-2,5.826950073E-2
9.720558700E-2,2.770312130E-3,7.661572099E-2,5.008888245E-2
1.131357620E-1,-2.000593208E-2,1.725596189E-2,2.790727615E-1
1.291574910E-1,3.353445232E-2,-3.539448977E-2,-1.971330643E-1
1.450876670E-1,-3.747043759E-2,-2.932190895E-3,6.048698425E-1
1.610788780E-1,1.149034873E-2,-4.774147272E-2,-3.712854385E-1
1.770395710E-1,3.077143058E-2,-2.298802137E-2,2.798528671E-1
1.930613000E-1,1.096876338E-3,6.871417165E-2,-2.445640564E-1
2.090525100E-1,8.875992149E-3,1.347857714E-2,3.364572525E-1
2.250132040E-1,-2.631619386E-2,7.464998960E-2,1.345548630E-1
2.409738970E-1,1.558823045E-2,-2.484878898E-2,-8.098793030E-2
2.569345910E-1,-8.415186778E-3,2.303346992E-2,4.241876602E-1
2.728647660E-1,1.105286554E-2,-4.519492388E-3,-2.395410538E-1
2.888864950E-1,-1.098007709E-2,-4.523694515E-4,3.829145432E-1
3.047861530E-1,7.313648239E-3,-1.121985912E-2,-1.941480637E-1
3.207773640E-1,-3.935817629E-3,-6.786292791E-2,2.702512741E-1
3.367380570E-1,-2.227915637E-2,6.779700518E-3,2.126960754E-1
3.527597860E-1,3.189777583E-2,-7.215991616E-2,-6.753444672E-2
3.687509970E-1,-4.346819222E-2,-4.802733660E-3,8.320236206E-2
3.846811730E-1,-1.965187117E-2,-3.663212061E-3,-3.765439987E-1
4.006418660E-1,-2.422454767E-2,-1.646402478E-2,3.799839020E-1
4.165720420E-1,8.121043444E-3,-9.339272976E-3,1.355743408E-2
4.325022170E-1,3.083193302E-2,-4.031693935E-2,3.030376434E-1
4.485239460E-1,-2.063222788E-2,2.516546845E-2,-2.765407562E-1
4.644541220E-1,-3.745349497E-2,-3.425359726E-2,-1.593170166E-1
4.804148150E-1,-7.884438336E-2,2.343183756E-2,1.925277710E-1
4.963755080E-1,-1.861800998E-2,1.062512398E-3,-4.157323837E-1
5.122751670E-1,1.871855184E-2,2.528539300E-2,8.003377914E-1
5.282663780E-1,1.366681159E-1,1.038637757E-2,-4.593591690E-1
5.441965530E-1,4.761300236E-2,-6.137770414E-2,-1.290903091E-1
5.601877640E-1,-9.778365493E-2,-3.135529160E-2,-1.074018478E-1
5.760874230E-1,-5.838422105E-3,-1.064640880E-1,2.853116989E-1
5.920175980E-1,3.928029165E-2,-3.021487594E-2,2.515659332E-1
6.080088090E-1,7.572750002E-2,-1.173120737E-2,-2.889442444E-2
6.239084670E-1,-1.741012558E-3,7.024267316E-2,2.110099792E-2
6.398996780E-1,-3.554373235E-2,6.429699063E-2,-1.257133484E-2
6.558298540E-1,-2.198651806E-2,5.112692714E-2,-6.532669067E-4
6.718210650E-1,-4.966763780E-3,2.460294962E-2,1.732826233E-3
6.877512410E-1,8.440036327E-4,-1.636150479E-2,1.724243164E-3
7.037729690E-1,6.224604324E-3,-4.595449567E-2,1.126670837E-2
7.197336630E-1,-1.775012910E-2,-5.169337988E-2,2.319717407E-2
7.357553910E-1,-2.075425908E-2,-5.976003408E-2,5.907154083E-2
7.517160850E-1,-3.565844148E-2,-1.804476976E-2,5.661678314E-2
7.677072960E-1,-1.018888690E-2,6.385624409E-3,3.498744965E-2
7.836374710E-1,-8.586339653E-3,1.394942403E-2,3.968906403E-2
7.995981650E-1,1.413195767E-2,3.153982759E-2,-1.065731049E-2
8.155588580E-1,-3.256759048E-2,3.826901317E-2,3.481674194E-2
8.315500690E-1,7.904246449E-3,-1.218900084E-2,4.917430878E-2
8.475107620E-1,3.213919699E-2,-5.097502470E-2,-2.985477448E-2
8.635019730E-1,-2.278288826E-3,-1.804390550E-2,4.913425446E-2
8.794931840E-1,-2.244741470E-2,1.924556494E-2,3.712463379E-2
8.954538780E-1,-1.363652945E-2,3.925916553E-2,1.312351227E-2
9.114450890E-1,-1.741388813E-2,4.279735684E-2,3.222942352E-2
9.273447470E-1,1.094777510E-2,2.720299363E-2,7.766819000E-2
9.433664750E-1,5.492415279E-3,-2.179145813E-4,4.410362244E-2
9.593271690E-1,2.082442492E-2,8.887797594E-3,1.774215698E-2
9.753488970E-1,3.475003317E-2,-1.029267907E-2,-1.413345337E-3
9.913401080E-1,1.841909066E-2,-4.147693515E-2,2.971076965E-2
1.007331319E0,6.590992212E-3,-1.062652469E-2,5.603599548E-2
1.023261495E0,-2.929404192E-2,-2.814447880E-2,4.403495789E-2
1.039252706E0,-3.142751753E-2,-4.165470600E-4,3.920650482E-2
1.055213399E0,4.681190476E-3,3.316670656E-3,3.437519073E-2
1.071235128E0,2.940427512E-4,-4.679471254E-3,1.758384705E-2
1.087226339E0,3.669156134E-2,-2.449059486E-2,6.544399261E-2
1.103187032E0,2.571507543E-2,-6.096154451E-3,2.950286865E-2
1.119178243E0,-1.973163337E-3,-4.221498966E-3,-3.515815735E-2
1.135138936E0,-3.595375270E-2,1.775577664E-2,-2.317237854E-2
1.151038594E0,-1.266423985E-2,2.048268914E-2,7.739639282E-2
1.167029805E0,2.576038614E-2,4.568624496E-2,1.635427475E-1
1.182929464E0,4.346591979E-2,4.574126005E-2,7.828712463E-3
1.198920675E0,5.516164005E-3,3.308290243E-2,-9.275341034E-2
1.214820333E0,-4.854740947E-2,-9.143352509E-3,-4.137992859E-3
1.230719991E0,-3.772004694E-2,-3.721657395E-2,1.503944397E-2
1.246741719E0,-1.770034060E-2,-3.188455105E-2,-9.266090393E-2
1.262641378E0,1.239424199E-2,-8.870899677E-3,3.933391571E-1
1.278632589E0,8.295582235E-2,4.356795549E-2,-2.963094711E-1
1.294623800E0,-1.507017203E-2,1.541453600E-2,-1.453847885E-1
1.310645528E0,-3.982969373E-2,-3.811320662E-2,1.493434906E-1
1.326636739E0,3.253752738E-2,-5.328816175E-2,1.350431442E-1
1.342566915E0,8.095026016E-2,-1.458394527E-2,1.037473679E-1
1.358558126E0,4.042390361E-2,2.673119307E-3,3.415012360E-2
1.374518819E0,-5.764887482E-2,5.422681570E-2,1.495265961E-2
1.390540548E0,-7.187648863E-2,8.076062799E-2,3.410816193E-2
1.406531758E0,-2.929829806E-2,8.327633142E-2,5.565929413E-2
1.422522969E0,2.452150173E-2,2.487942576E-2,-1.620101929E-2
1.438514180E0,1.861778833E-2,-3.758922219E-2,-3.057193756E-2
1.454474874E0,9.028533474E-3,-4.917898774E-2,3.169250488E-2
1.470496602E0,-2.246287279E-2,-4.214027524E-2,3.168582916E-2
