"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.626312900E-2,-1.490224898E-2,-5.056262016E-3,6.576251984E-2
5.225434000E-2,-7.917344570E-3,2.137774229E-2,-1.090173721E-1
6.824555000E-2,1.103922725E-2,-7.255554199E-3,1.547908783E-2
8.420624400E-2,-1.070556045E-2,-2.152341604E-2,1.184272766E-1
1.001669370E-1,-7.673487067E-3,-3.942811489E-2,-9.526252747E-2
1.160971130E-1,2.085997164E-2,3.488934040E-2,2.399244308E-1
1.320883240E-1,5.308371782E-2,9.717345238E-3,2.305326462E-1
1.480490170E-1,2.568861842E-2,-3.097534180E-2,-2.528724670E-1
1.640402280E-1,-1.461124420E-2,-3.322273493E-2,-2.001180649E-1
1.799704040E-1,5.240544677E-3,9.786903858E-3,-1.618385315E-2
1.959616150E-1,2.798496187E-2,1.555460691E-2,1.827020645E-1
2.119528260E-1,3.275187314E-2,1.239919662E-2,1.704740524E-1
2.278830020E-1,1.856578887E-2,-1.322174072E-2,1.681833267E-1
2.438742130E-1,-1.485368609E-2,4.280853271E-2,-3.492641449E-2
2.598654240E-1,-3.413498402E-3,2.483713627E-2,-1.135368347E-1
2.758261170E-1,-1.189635694E-2,-2.805888653E-2,2.792072296E-2
2.917562930E-1,-2.022887766E-2,-6.663739681E-2,-1.178073883E-2
3.077475040E-1,-1.545520127E-2,-3.447598219E-2,7.110309601E-2
3.237387150E-1,-1.829142869E-2,-6.267428398E-3,4.105567932E-3
3.397299250E-1,-9.385451674E-3,3.620821238E-2,3.767776489E-2
3.557211360E-1,6.335303187E-3,3.388732672E-2,3.290653229E-2
3.717123470E-1,-1.855695248E-2,2.278816700E-2,4.484176636E-2
3.876120060E-1,-1.370872557E-2,1.777970791E-2,1.117439270E-1
4.035726990E-1,-3.104582429E-3,2.978771925E-2,3.735351562E-2
4.195639100E-1,-9.286165237E-3,2.637279034E-2,4.921817780E-2
4.355246030E-1,2.083005011E-2,2.525848150E-2,-5.862808228E-2
4.514547790E-1,1.811689138E-2,-1.985907555E-3,3.488540649E-3
4.674765080E-1,2.722725272E-3,2.691650391E-2,-3.500270844E-2
4.834372010E-1,-1.629933715E-3,5.572348833E-2,4.384803772E-2
4.994284120E-1,3.841206431E-3,5.444449186E-2,1.012277603E-1
5.154196230E-1,-9.967416525E-3,1.066601276E-2,-4.718208313E-2
5.314108340E-1,2.078980207E-2,3.830605745E-2,3.189945221E-2
5.473715270E-1,7.961213589E-3,2.111089230E-2,-3.030681610E-2
5.633627380E-1,1.189167798E-2,-1.739376783E-2,8.225059509E-2
5.793234310E-1,1.600022614E-2,1.549196243E-2,-1.586055756E-2
5.953146420E-1,3.663602471E-2,7.818341255E-3,3.686141968E-2
6.113058530E-1,7.127195597E-3,1.382452250E-2,-3.248405457E-2
6.272970640E-1,1.635432243E-3,4.135775566E-2,-6.591510773E-2
6.432882750E-1,6.428658962E-4,2.174991369E-2,-1.558971405E-2
6.592794860E-1,-7.495865226E-3,-7.034063339E-3,2.752971649E-2
6.752096620E-1,-1.015886664E-3,-2.862656116E-2,-1.315498352E-2
6.911703550E-1,-8.523598313E-3,-1.350039244E-2,-2.995395660E-2
7.071310490E-1,-6.486549973E-3,2.164852619E-2,2.741527557E-2
7.231222590E-1,-2.376478910E-2,3.185129166E-2,1.062774658E-2
7.390829530E-1,-2.182871103E-2,4.320818186E-2,1.546382904E-2
7.550436460E-1,-2.714738250E-3,3.711855412E-2,1.793766022E-2
7.710348570E-1,1.808851957E-3,3.137850761E-2,1.800060272E-2
7.869955500E-1,-1.285313070E-2,2.795082331E-2,2.764797211E-2
8.029867610E-1,-1.529164612E-2,3.686654568E-2,2.050685883E-2
8.189779720E-1,4.070803523E-3,5.212426186E-4,3.728866577E-2
8.348776310E-1,5.867108703E-3,-6.854534149E-4,-5.770683289E-3
8.508688410E-1,-6.103903055E-3,-1.026225090E-2,-4.407787323E-2
8.668905700E-1,-1.492841542E-2,-6.954312325E-3,-4.654407501E-2
8.828817810E-1,-7.279887795E-3,1.906931400E-2,-1.316261292E-2
8.988424740E-1,5.583912134E-3,4.042494297E-2,7.527065277E-2
9.148031680E-1,3.158590198E-2,4.962927103E-2,1.088190079E-1
9.307943790E-1,1.622825861E-3,-1.597768068E-2,-5.375671387E-2
9.467550720E-1,-1.168727875E-2,-1.473331451E-2,-1.277303696E-1
9.627462830E-1,9.003147483E-3,-1.526004076E-2,4.949092865E-2
9.786764590E-1,-6.195560098E-3,2.523839474E-3,-3.079414368E-3
9.946676700E-1,-2.167634666E-2,-2.160608768E-3,-1.059150696E-1
1.010689398E0,3.699594736E-2,8.410626650E-2,3.106470108E-1
1.026619574E0,3.432868421E-2,8.616447449E-4,1.428508759E-2
1.042610785E0,1.105014980E-2,-1.754271984E-2,-2.890787125E-1
1.058632513E0,-5.276069045E-3,-1.472258568E-2,-1.859064102E-1
1.074623724E0,-8.970499039E-6,2.809506655E-2,3.650951385E-2
1.090645453E0,4.055753350E-3,3.139805794E-2,1.320838928E-1
1.106545111E0,1.784615219E-2,2.834653854E-2,1.488990784E-1
1.122536322E0,2.415262163E-2,5.133962631E-2,1.444950104E-1
1.138497015E0,6.210595369E-3,5.464702845E-2,-7.518959045E-2
1.154488226E0,-1.017586887E-2,2.577024698E-2,9.130477905E-3
1.170479437E0,-4.801164567E-2,8.834779263E-3,-3.359413147E-2
1.186440131E0,-2.924609184E-2,1.369714737E-3,-9.466171265E-3
