"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.424665200E-2,-1.285305619E-2,4.935562611E-3,4.972267151E-2
5.023786300E-2,1.599815488E-2,6.980717182E-3,3.051376343E-2
6.616803800E-2,4.813909531E-3,-9.026169777E-3,-2.259540558E-2
8.215924900E-2,-6.452172995E-3,4.574656487E-3,2.998065948E-2
9.815046000E-2,1.222616434E-2,5.797088146E-3,-2.237129211E-2
1.141111540E-1,-8.867412806E-3,-8.766949177E-3,-1.026153564E-3
1.301328820E-1,-9.792715311E-3,-5.671381950E-3,2.296066284E-2
1.460935750E-1,1.530230045E-3,1.132190228E-2,-1.788711548E-2
1.620542690E-1,-1.099494100E-2,5.583107471E-3,7.736110687E-2
1.780149620E-1,-2.109523118E-2,8.638203144E-3,-8.254051208E-2
1.939756550E-1,3.840899467E-2,-1.872003078E-3,4.458618164E-2
2.099058310E-1,-7.422268391E-3,3.006100655E-2,-5.548954010E-2
2.258360070E-1,9.086728096E-3,2.160513401E-2,9.479522705E-3
2.417967000E-1,-1.740336418E-3,1.435905695E-2,4.831027985E-2
2.577268760E-1,6.391167641E-3,7.736206055E-3,-3.247070312E-2
2.736875700E-1,4.881709814E-3,-2.693176270E-3,6.750488281E-2
2.896177450E-1,-1.304244995E-2,-8.834600449E-4,-6.358909607E-2
3.055784390E-1,-2.185985446E-2,2.208495140E-2,4.358196259E-2
3.215391320E-1,4.997909069E-3,4.658341408E-3,-4.319572449E-2
3.375303430E-1,1.089194417E-2,2.866470814E-2,-5.546569824E-3
3.535520720E-1,-4.665732384E-3,2.657383680E-2,3.687095642E-2
3.695432820E-1,8.916914463E-3,4.016751051E-2,-2.432823181E-3
3.855344930E-1,2.707540989E-3,4.574924707E-2,1.403236389E-2
4.014951870E-1,-1.496252418E-2,4.782211781E-2,-1.206569672E-1
4.174558800E-1,2.959865332E-2,5.784875154E-2,5.105209351E-2
4.334165730E-1,7.175356150E-3,1.209481955E-1,6.491279602E-2
4.494077840E-1,1.984888315E-2,9.061121941E-2,6.224060059E-2
4.653379600E-1,-1.618300378E-2,6.713533401E-2,-1.462860107E-1
4.812986540E-1,1.985302567E-2,7.996487617E-2,-8.210563660E-2
4.972593470E-1,1.009222865E-2,7.418179512E-2,5.986213684E-3
5.132200400E-1,-5.034609139E-2,8.760881424E-2,-2.198057175E-1
5.291502160E-1,2.904228866E-2,1.331255436E-1,2.653884888E-1
5.451109090E-1,-1.290142536E-2,9.956967831E-2,-6.056404114E-2
5.610716030E-1,-9.452447295E-3,6.666666269E-2,-1.898651123E-1
5.770017790E-1,4.183855653E-2,1.116719842E-1,-1.645030975E-1
5.929624720E-1,4.394629598E-2,1.372505426E-1,-3.839302063E-2
6.089536830E-1,5.979472399E-2,1.513160467E-1,4.000854492E-2
6.248838590E-1,5.459219217E-2,1.850212216E-1,1.499118805E-1
6.409055870E-1,4.379779100E-2,1.646993160E-1,4.714584351E-2
6.568662800E-1,-7.694989443E-3,1.558717489E-1,-6.983757019E-2
6.728880090E-1,1.187026501E-3,1.170223951E-1,-1.055126190E-1
6.888792200E-1,-3.215371072E-2,1.073748469E-1,-9.832859039E-2
7.048093960E-1,-1.266747713E-2,1.168353558E-1,-3.625869751E-2
7.208006070E-1,4.790991545E-3,1.347437501E-1,-1.020622253E-2
7.367307820E-1,-6.934314966E-3,1.741580367E-1,2.065372467E-2
7.527525110E-1,1.194119453E-2,1.652116776E-1,2.043914795E-2
7.686826870E-1,1.418766379E-2,1.680617332E-1,2.023410797E-2
7.847044150E-1,1.450124383E-2,1.666197181E-1,-1.061916351E-2
8.006345910E-1,1.254034042E-2,1.675391793E-1,-4.865264893E-2
8.166258020E-1,-4.637449980E-3,1.376043558E-1,-5.322742462E-2
8.326475300E-1,-5.597203970E-3,1.534298658E-1,-6.738376617E-2
8.486387410E-1,6.394565105E-3,1.363349557E-1,-6.724452972E-2
8.646299520E-1,7.599204779E-3,1.570026875E-1,2.401351929E-3
8.805906460E-1,1.339143515E-2,1.772999167E-1,-7.396411896E-2
8.965513390E-1,1.929840446E-2,1.716791391E-1,1.723098755E-2
9.125120320E-1,2.088212967E-2,1.556318402E-1,-1.590728760E-3
9.285337610E-1,2.438271046E-2,1.472041607E-1,-2.282619476E-2
9.444944540E-1,4.506805539E-2,1.237835288E-1,3.959083557E-2
9.604856650E-1,3.872424364E-3,1.273275018E-1,1.575660706E-2
9.764158410E-1,2.825963497E-2,1.215790510E-1,-3.439426422E-2
9.923154990E-1,4.542648792E-3,1.288074851E-1,-1.997375488E-2
1.008276193E0,-1.874116063E-2,1.295157075E-1,-2.716445923E-2
1.024206368E0,5.520701408E-3,1.405435205E-1,-5.670547485E-3
1.040167062E0,1.981180906E-2,1.288646460E-1,-2.496242523E-2
1.056127755E0,1.123893261E-2,1.400869489E-1,2.228736877E-2
1.072027413E0,-8.272916079E-3,1.416280866E-1,-3.821563721E-2
1.088018624E0,3.685295582E-3,1.196634769E-1,-7.720375061E-2
1.103948800E0,2.923327684E-2,1.271511316E-1,-3.720569611E-2
